Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
PARC CLEMATIS,"1,565,000",990.29,"1,580",02 Oct 2021,8D JALAN LEMPENG #07-43,New Sale,Strata,92,"17,011",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128826,05,12,West Region,Clementi
AVENUE SOUTH RESIDENCE,"2,786,000","1,496.2","1,862",02 Oct 2021,13 SILAT AVENUE #08-37,New Sale,Strata,139,"20,043",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,168878,03,16,Central Region,Bukit Merah
AVENUE SOUTH RESIDENCE,"1,686,000",731.95,"2,303",02 Oct 2021,13 SILAT AVENUE #44-46,New Sale,Strata,68,"24,794",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,168878,03,16,Central Region,Bukit Merah
SKY EVERTON,"2,554,000",914.94,"2,791",02 Oct 2021,50 EVERTON ROAD #31-09,New Sale,Strata,85,"30,047",-,Apartment,1,Freehold,Uncompleted,N.A,089396,02,08,Central Region,Bukit Merah
OLA,"990,000",925.7,"1,069",02 Oct 2021,76 ANCHORVALE CRESCENT #03-13,New Sale,Strata,86,"11,512",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,N.A,544602,19,54,North East Region,Sengkang
LEEDON GREEN,"1,259,000",473.62,"2,658",02 Oct 2021,32 LEEDON HEIGHTS #05-33,New Sale,Strata,44,"28,614",-,Condominium,1,Freehold,Uncompleted,N.A,266075,10,26,Central Region,Bukit Timah
KOPAR AT NEWTON,"2,487,125","1,097.93","2,265",02 Oct 2021,8 MAKEWAY AVENUE #01-11,New Sale,Strata,102,"24,384",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"3,482,960","1,528.49","2,279",02 Oct 2021,8 MAKEWAY AVENUE #05-15,New Sale,Strata,142,"24,528",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
PHOENIX RESIDENCES,"917,460",602.78,"1,522",02 Oct 2021,83 PHOENIX AVENUE #03-07,New Sale,Strata,56,"16,383",-,Apartment,1,99 yrs from 05/11/2019,Uncompleted,N.A,668384,23,66,West Region,Bukit Batok
PARC CENTRAL RESIDENCES,"1,147,000",925.7,"1,239",02 Oct 2021,135 TAMPINES STREET 86 #13-35,New Sale,Strata,86,"13,337",-,Executive Condominium,1,99 yrs from 22/04/2019,Uncompleted,N.A,528449,18,52,East Region,Tampines
PARC GREENWICH,"1,152,000",958,"1,203",02 Oct 2021,31 FERNVALE LANE #05-02,New Sale,Strata,89,"12,944",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797503,28,79,North East Region,Sengkang
PARC GREENWICH,"1,513,000","1,205.57","1,255",02 Oct 2021,35 FERNVALE LANE #07-10,New Sale,Strata,112,"13,509",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797352,28,79,North East Region,Sengkang
PARC GREENWICH,"1,293,000","1,001.05","1,292",02 Oct 2021,47 FERNVALE LANE #09-36,New Sale,Strata,93,"13,903",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797358,28,79,North East Region,Sengkang
THE WATERGARDENS AT CANBERRA,"1,588,000","1,108.69","1,432",02 Oct 2021,47 CANBERRA DRIVE #02-60,New Sale,Strata,103,"15,417",-,Apartment,1,99 yrs from 08/06/2020,Uncompleted,N.A,769325,27,76,North Region,Sembawang
DAIRY FARM RESIDENCES,"1,185,500",710.42,"1,669",02 Oct 2021,8 DAIRY FARM LANE #09-20,New Sale,Strata,66,"17,962",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677624,23,67,West Region,Bukit Panjang
DAIRY FARM RESIDENCES,"1,122,300",710.42,"1,580",02 Oct 2021,8 DAIRY FARM LANE #04-20,New Sale,Strata,66,"17,005",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677624,23,67,West Region,Bukit Panjang
RESIDENCES @ EVELYN,"2,400,000","1,140.98","2,103",02 Oct 2021,15 EVELYN ROAD #11-04,Resale,Strata,106,"22,642",-,Condominium,1,Freehold,2007,Private,309311,11,30,Central Region,Novena
THE WOODLEIGH RESIDENCES,"3,336,000","1,474.67","2,262",03 Oct 2021,13 BIDADARI PARK DRIVE #08-02,New Sale,Strata,137,"24,350",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367804,13,36,Central Region,Toa Payoh
AFFINITY AT SERANGOON,"1,539,000",958,"1,606",03 Oct 2021,24 SERANGOON NORTH AVENUE 1 #14-42,New Sale,Strata,89,"17,292",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,N.A,554339,19,55,North East Region,Serangoon
FOURTH AVENUE RESIDENCES,"1,237,000",505.91,"2,445",03 Oct 2021,18 FOURTH AVENUE #04-66,New Sale,Strata,47,"26,319",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,N.A,268679,10,26,Central Region,Bukit Timah
FOURTH AVENUE RESIDENCES,"1,274,000",495.14,"2,573",03 Oct 2021,6 FOURTH AVENUE #08-18,New Sale,Strata,46,"27,696",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,N.A,268673,10,26,Central Region,Bukit Timah
NORMANTON PARK,"1,570,000",828.83,"1,894",03 Oct 2021,49 NORMANTON PARK #18-19,New Sale,Strata,77,"20,390",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,N.A,117280,05,11,Central Region,Queenstown
THE ANTARES,"1,588,000",882.65,"1,799",03 Oct 2021,25 MATTAR ROAD #03-23,New Sale,Strata,82,"19,366",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,387731,14,38,Central Region,Geylang
THE ANTARES,"1,668,000",882.65,"1,890",03 Oct 2021,25 MATTAR ROAD #13-23,New Sale,Strata,82,"20,341",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,387731,14,38,Central Region,Geylang
THE ANTARES,"1,607,000",882.65,"1,821",03 Oct 2021,25 MATTAR ROAD #05-26,New Sale,Strata,82,"19,598",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,387731,14,38,Central Region,Geylang
PARC KOMO,"1,641,000","1,001.05","1,639",03 Oct 2021,961 UPPER CHANGI ROAD NORTH #02-70,New Sale,Strata,93,"17,645",-,Apartment,1,Freehold,Uncompleted,N.A,507663,17,50,East Region,Pasir Ris
PARC KOMO,"1,138,000",731.95,"1,555",03 Oct 2021,963B UPPER CHANGI ROAD NORTH #05-78,New Sale,Strata,68,"16,735",-,Apartment,1,Freehold,Uncompleted,N.A,506789,17,50,East Region,Pasir Ris
PARC CLEMATIS,"2,495,000","1,496.2","1,668",03 Oct 2021,6 JALAN LEMPENG #02-04,New Sale,Strata,139,"17,950",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128795,05,12,West Region,Clementi
PARC CLEMATIS,"1,305,000",688.9,"1,894",03 Oct 2021,8D JALAN LEMPENG #13-47,New Sale,Strata,64,"20,391",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128826,05,12,West Region,Clementi
HYLL ON HOLLAND,"1,640,000",656.6,"2,498",03 Oct 2021,89 HOLLAND ROAD #04-04,New Sale,Strata,61,"26,885",-,Condominium,1,Freehold,Uncompleted,N.A,275750,10,27,Central Region,Bukit Timah
MIDWOOD,"2,086,000","1,248.62","1,671",03 Oct 2021,10 HILLVIEW RISE #19-17,New Sale,Strata,116,"17,983",-,Condominium,1,99 yrs from 01/10/2018,Uncompleted,N.A,667972,23,66,West Region,Bukit Batok
OLA,"1,083,000",947.23,"1,143",03 Oct 2021,74 ANCHORVALE CRESCENT #01-09,New Sale,Strata,88,"12,307",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,N.A,544601,19,54,North East Region,Sengkang
OLA,"1,243,000","1,054.87","1,178",03 Oct 2021,78 ANCHORVALE CRESCENT #02-17,New Sale,Strata,98,"12,684",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,N.A,544603,19,54,North East Region,Sengkang
OLA,"941,000",775.01,"1,214",03 Oct 2021,86 ANCHORVALE CRESCENT #05-36,New Sale,Strata,72,"13,069",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,N.A,544561,19,54,North East Region,Sengkang
