Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE TOPIARY,"1,190,000","1,054.87","1,128",04 Oct 2021,23 FERNVALE LANE #08-30,Resale,Strata,98,"12,143",-,Executive Condominium,1,99 yrs from 03/07/2012,2016,Private,797501,28,79,North East Region,Sengkang
KINGSFORD WATERBAY,"618,000",484.38,"1,276",04 Oct 2021,76 UPPER SERANGOON VIEW #03-61,Resale,Strata,45,"13,733",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533880,19,53,North East Region,Hougang
EUHABITAT,"1,438,000","1,162.51","1,237",04 Oct 2021,204 JALAN EUNOS #04-46,Resale,Strata,108,"13,315",-,Condominium,1,99 yrs from 06/12/2010,2015,HDB,419546,14,41,East Region,Bedok
EIGHT RIVERSUITES,"1,130,000",699.66,"1,615",04 Oct 2021,10 WHAMPOA EAST #23-29,Resale,Strata,65,"17,385",-,Condominium,1,99 yrs from 11/07/2011,2016,Private,338521,12,33,Central Region,Kallang
DOVER PARKVIEW,"2,685,000","2,228.15","1,205",04 Oct 2021,36 DOVER RISE #16-05,Resale,Strata,207,"12,971",-,Condominium,1,99 yrs from 01/12/1993,1997,Private,138685,05,13,Central Region,Queenstown
MELVILLE PARK,"915,000","1,302.44",703,05 Oct 2021,16 SIMEI STREET 1 #11-09,Resale,Strata,121,"7,562",-,Condominium,1,99 yrs from 01/09/1992,1996,Private,529942,18,52,East Region,Tampines
SIMEI GREEN CONDOMINIUM,"850,000",968.76,877,05 Oct 2021,3 SIMEI STREET 4 #08-06,Resale,Strata,90,"9,444",-,Executive Condominium,1,99 yrs from 14/11/1996,1999,HDB,529862,18,52,East Region,Tampines
KERRISDALE,"2,650,000","2,378.84","1,114",05 Oct 2021,36 STURDEE ROAD #30-16,Resale,Strata,221,"11,991",-,Condominium,1,99 yrs from 02/04/1998,2005,Private,207855,08,20,Central Region,Kallang
PINE GROVE,"1,700,000","1,754.53",969,05 Oct 2021,1D PINE GROVE #15-14,Resale,Strata,163,"10,429",-,Condominium,1,99 yrs from 01/11/1984,-,Private,593001,21,59,Central Region,Bukit Timah
RV RESIDENCES,"1,500,000",688.9,"2,177",05 Oct 2021,461 RIVER VALLEY ROAD #04-05,Resale,Strata,64,"23,438",-,Condominium,1,999 yrs from 21/06/1877,2015,Private,248346,10,24,Central Region,Tanglin
HERON BAY,"1,420,000","1,582.31",897,05 Oct 2021,51 UPPER SERANGOON VIEW #01-03,Resale,Strata,147,"9,660",-,Executive Condominium,1,99 yrs from 04/06/2012,2015,HDB,534020,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,750,000","1,356.26","1,290",05 Oct 2021,78 UPPER SERANGOON VIEW #10-65,Resale,Strata,126,"13,889",-,Apartment,1,99 yrs from 03/03/2014,2018,Private,533879,19,53,North East Region,Hougang
THE FORESTA @ MOUNT FABER,"1,400,000",871.88,"1,606",05 Oct 2021,106 WISHART ROAD #05-20,Resale,Strata,81,"17,284",-,Condominium,1,Freehold,2014,HDB,098751,04,09,Central Region,Bukit Merah
WOODSVALE,"950,000","1,313.21",723,05 Oct 2021,3 WOODLANDS DRIVE 72 #08-06,Resale,Strata,122,"7,787",-,Executive Condominium,1,99 yrs from 22/09/1997,2000,HDB,738090,25,73,North Region,Woodlands
TRILIVE,"1,842,000","1,162.51","1,584",05 Oct 2021,113 TAMPINES ROAD #09-07,Resale,Strata,108,"17,056",-,Condominium,1,Freehold,2018,HDB,533902,19,53,North East Region,Hougang
URBAN VISTA,"680,000",441.32,"1,541",05 Oct 2021,16 TANAH MERAH KECHIL LINK #06-31,Resale,Strata,41,"16,585",-,Condominium,1,99 yrs from 05/11/2012,2016,Private,465424,16,46,East Region,Bedok
CASUARINA COVE,"1,830,000","1,388.56","1,318",05 Oct 2021,120 TANJONG RHU ROAD #06-05,Resale,Strata,129,"14,186",-,Condominium,1,99 yrs from 20/10/1993,1996,Private,436904,15,43,Central Region,Kallang
SANCTUARY GREEN,"1,800,000","1,356.26","1,327",05 Oct 2021,181 TANJONG RHU ROAD #11-10,Resale,Strata,126,"14,286",-,Condominium,1,99 yrs from 17/03/1997,2004,Private,436922,15,43,Central Region,Kallang
N.A.,"14,500,000","8,161.26","1,777",05 Oct 2021,10 HOLLAND GROVE WALK,Resale,Land,758.2,"19,124",-,Detached House,1,Freehold,1992,Private,278758,10,27,Central Region,Bukit Timah
VILLA MARINA,"1,270,000","1,087.16","1,168",05 Oct 2021,33 JALAN SEMPADAN #02-08,Resale,Strata,101,"12,574",-,Condominium,1,99 yrs from 13/02/1995,1999,HDB,457404,15,45,East Region,Bedok
REFLECTIONS AT KEPPEL BAY,"1,680,000","1,065.64","1,577",05 Oct 2021,3 KEPPEL BAY VIEW #03-11,Resale,Strata,99,"16,970",-,Condominium,1,99 yrs from 15/03/2006,2011,Private,098403,04,09,Central Region,Bukit Merah
WATERFORD RESIDENCE,"1,660,000","1,076.4","1,542",05 Oct 2021,23 KIM YAM ROAD #01-08,Resale,Strata,100,"16,600",-,Apartment,1,999 yrs from 01/07/1841,2010,Private,239333,09,23,Central Region,River Valley
KING'S GARDEN,"8,738,000","4,361.57","2,003",05 Oct 2021,17 KING'S CLOSE,Resale,Land,405.2,"21,565",-,Semi-Detached House,1,999 yrs from 27/12/1875,1976,Private,268194,10,26,Central Region,Bukit Timah
BERKELEY RESIDENCES,"1,250,000",764.24,"1,636",05 Oct 2021,11 LORONG N TELOK KURAU #02-04,Resale,Strata,71,"17,606",-,Apartment,1,Freehold,2015,HDB,425141,15,42,East Region,Bedok
TRILIGHT,"2,510,000","1,162.51","2,159",05 Oct 2021,7 NEWTON ROAD #17-05,Resale,Strata,108,"23,241",-,Condominium,1,Freehold,2012,Private,307945,11,30,Central Region,Novena
BELLE VUE RESIDENCES,"4,830,000","3,498.3","1,381",05 Oct 2021,31 OXLEY WALK #05-31,Resale,Strata,325,"14,862",-,Condominium,1,Freehold,2010,Private,238598,09,23,Central Region,River Valley
STURDEE RESIDENCES,"1,685,000",936.47,"1,799",05 Oct 2021,10 BEATTY ROAD #16-01,Sub Sale,Strata,87,"19,368",-,Condominium,1,99 yrs from 29/06/2015,2019,Private,209955,08,20,Central Region,Kallang
WATERFRONT GOLD,"1,150,000",893.41,"1,287",05 Oct 2021,758 BEDOK RESERVOIR ROAD #11-23,Resale,Strata,83,"13,855",-,Condominium,1,99 yrs from 26/11/2009,2014,Private,479260,16,47,East Region,Bedok
ECO,"790,000",613.55,"1,288",05 Oct 2021,273 BEDOK SOUTH AVENUE 3 #07-13,Resale,Strata,57,"13,860",-,Condominium,1,99 yrs from 14/05/2012,2017,HDB,465490,16,46,East Region,Bedok
THE LIGHT @ CAIRNHILL,"3,810,000","1,689.95","2,255",05 Oct 2021,19 CAIRNHILL CIRCLE #15-01,Resale,Strata,157,"24,268",-,Condominium,1,Freehold,2004,Private,229768,09,22,Central Region,Newton
THE CLEMENT CANOPY,"1,758,000","1,108.69","1,586",05 Oct 2021,18 CLEMENTI AVENUE 1 #28-11,Resale,Strata,103,"17,068",-,Apartment,1,99 yrs from 09/03/2016,2019,HDB,129961,05,12,West Region,Clementi
GARDENVISTA,"1,600,000","1,130.22","1,416",05 Oct 2021,954 DUNEARN ROAD #06-14,Resale,Strata,105,"15,238",-,Condominium,1,99 yrs from 09/09/1999,2006,HDB,589483,21,58,Central Region,Bukit Timah
BAN GUAN PARK,"6,450,000","3,489.69","1,848",05 Oct 2021,22 GREENLEAF AVENUE,Resale,Land,324.2,"19,895",-,Semi-Detached House,1,Freehold,1988,Private,279603,10,27,Central Region,Bukit Timah
HILLINGTON GREEN,"1,350,000",979.52,"1,378",05 Oct 2021,45 HILLVIEW AVENUE #10-04,Resale,Strata,91,"14,835",-,Condominium,1,999 yrs from 19/05/1883,2002,Private,669613,23,66,West Region,Bukit Batok
FOURTH AVENUE RESIDENCES,"1,264,000",505.91,"2,498",05 Oct 2021,18 FOURTH AVENUE #05-62,New Sale,Strata,47,"26,894",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,N.A,268679,10,26,Central Region,Bukit Timah
FOURTH AVENUE RESIDENCES,"2,630,000","1,108.69","2,372",05 Oct 2021,6 FOURTH AVENUE #06-20,New Sale,Strata,103,"25,534",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,N.A,268673,10,26,Central Region,Bukit Timah
THE JOVELL,"1,228,400",904.18,"1,359",05 Oct 2021,13 FLORA DRIVE #08-10,New Sale,Strata,84,"14,624",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,N.A,506853,17,50,East Region,Pasir Ris
THE FLORENCE RESIDENCES,"2,173,000","1,345.5","1,615",05 Oct 2021,83 HOUGANG AVENUE 2 #15-11,New Sale,Strata,125,"17,384",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538860,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,665,000",914.94,"1,820",05 Oct 2021,89 HOUGANG AVENUE 2 #14-39,New Sale,Strata,85,"19,588",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538863,19,53,North East Region,Hougang
ROYALGREEN,"1,730,380",667.37,"2,593",05 Oct 2021,2 ANAMALAI AVENUE #04-08,New Sale,Strata,62,"27,909",-,Condominium,1,Freehold,Uncompleted,N.A,279988,10,27,Central Region,Bukit Timah
TREASURE AT TAMPINES,"1,837,000","1,334.74","1,376",05 Oct 2021,21 TAMPINES LANE #03-76,New Sale,Strata,124,"14,815",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528475,18,52,East Region,Tampines
ONE PEARL BANK,"1,918,000",893.41,"2,147",05 Oct 2021,1 PEARL BANK #08-22,New Sale,Strata,83,"23,108",-,Apartment,1,99 yrs from 01/03/2019,Uncompleted,N.A,169016,03,16,Central Region,Outram
PARC CLEMATIS,"1,322,000",688.9,"1,919",05 Oct 2021,8D JALAN LEMPENG #21-47,New Sale,Strata,64,"20,656",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128826,05,12,West Region,Clementi
AVENUE SOUTH RESIDENCE,"1,956,000",947.23,"2,065",05 Oct 2021,11 SILAT AVENUE #28-36,New Sale,Strata,88,"22,227",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,168877,03,16,Central Region,Bukit Merah
MIDWOOD,"1,240,000",699.66,"1,772",05 Oct 2021,8 HILLVIEW RISE #18-04,New Sale,Strata,65,"19,077",-,Condominium,1,99 yrs from 01/10/2018,Uncompleted,N.A,667971,23,66,West Region,Bukit Batok
DAIRY FARM RESIDENCES,"1,636,700","1,022.58","1,601",05 Oct 2021,12 DAIRY FARM LANE #05-41,New Sale,Strata,95,"17,228",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677615,23,67,West Region,Bukit Panjang
OLA,"1,258,000","1,054.87","1,193",05 Oct 2021,86 ANCHORVALE CRESCENT #02-33,New Sale,Strata,98,"12,837",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,N.A,544561,19,54,North East Region,Sengkang
THE M,"1,985,000",861.12,"2,305",05 Oct 2021,38 MIDDLE ROAD #20-43,New Sale,Strata,80,"24,813",-,Apartment,1,99 yrs from 03/07/2019,Uncompleted,N.A,188947,07,18,Central Region,Downtown Core
FORETT AT BUKIT TIMAH,"1,577,000",742.72,"2,123",05 Oct 2021,38B TOH TUCK ROAD #02-89,New Sale,Strata,69,"22,855",-,Apartment,1,Freehold,Uncompleted,N.A,596117,21,59,Central Region,Bukit Timah
PARC CENTRAL RESIDENCES,"1,469,000","1,270.15","1,157",05 Oct 2021,133 TAMPINES STREET 86 #03-32,New Sale,Strata,118,"12,449",-,Executive Condominium,1,99 yrs from 22/04/2019,Uncompleted,N.A,528448,18,52,East Region,Tampines
KI RESIDENCES AT BROOKVALE,"1,646,000",871.88,"1,888",05 Oct 2021,12 BROOKVALE DRIVE #12-28,New Sale,Strata,81,"20,321",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599978,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,864,000",979.52,"1,903",05 Oct 2021,20 BROOKVALE DRIVE #07-46,New Sale,Strata,91,"20,484",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599982,21,59,West Region,Clementi
THE WATERGARDENS AT CANBERRA,"1,035,000",678.13,"1,526",05 Oct 2021,27 CANBERRA DRIVE #03-07,New Sale,Strata,63,"16,429",-,Apartment,1,99 yrs from 08/06/2020,Uncompleted,N.A,769989,27,76,North Region,Sembawang
THE WATERGARDENS AT CANBERRA,"1,107,000",753.48,"1,469",05 Oct 2021,57 CANBERRA DRIVE #03-89,New Sale,Strata,70,"15,814",-,Apartment,1,99 yrs from 08/06/2020,Uncompleted,N.A,769330,27,76,North Region,Sembawang
PINEVALE,"1,050,000","1,388.56",756,05 Oct 2021,8 TAMPINES STREET 73 #02-02,Resale,Strata,129,"8,140",-,Executive Condominium,1,99 yrs from 31/01/1997,1999,HDB,528826,18,52,East Region,Tampines
THOMSON EURO-ASIA,"2,350,000","1,130.22","2,079",05 Oct 2021,150 THOMSON ROAD #16-05,Resale,Strata,105,"22,381",-,Condominium,1,Freehold,2002,Private,307605,11,30,Central Region,Novena
CHANGI COURT,"1,030,000",925.7,"1,113",05 Oct 2021,702 UPPER CHANGI ROAD EAST #09-07,Resale,Strata,86,"11,977",-,Condominium,1,Freehold,1997,Private,486832,16,48,East Region,Tampines
BREEZE BY THE EAST,"3,450,000","2,884.75","1,196",05 Oct 2021,328 UPPER EAST COAST ROAD #05-18,Resale,Strata,268,"12,873",-,Condominium,1,Freehold,2011,Private,465522,16,46,East Region,Bedok
BOATHOUSE RESIDENCES,"1,210,000","1,194.8","1,013",05 Oct 2021,27 UPPER SERANGOON VIEW #01-13,Resale,Strata,111,"10,901",-,Condominium,1,99 yrs from 09/02/2011,2015,Private,534045,19,53,North East Region,Hougang
SEMBAWANG HILLS ESTATE,"2,850,000","2,015.02","1,414",05 Oct 2021,106 JALAN LEBAN,Resale,Land,187.2,"15,224",-,Terrace House,1,Freehold,-,Private,577633,20,57,North East Region,Ang Mo Kio
LEONIE SUITES,"1,780,000",925.7,"1,923",05 Oct 2021,21 LEONIE HILL #18-03,Resale,Strata,86,"20,698",-,Apartment,1,99 yrs from 07/01/2002,2006,Private,239223,09,23,Central Region,River Valley
THE MILTONIA RESIDENCES,"890,000",861.12,"1,034",05 Oct 2021,536 MILTONIA CLOSE #04-40,Resale,Strata,80,"11,125",-,Condominium,1,99 yrs from 30/11/2010,2014,HDB,768112,27,76,North Region,Yishun
SOMMERVILLE RESIDENCES,"3,400,000","4,488.59",757,05 Oct 2021,32 SOMMERVILLE WALK,Resale,Strata,417,"8,153",-,Semi-Detached House,1,Freehold,2012,Private,357694,13,35,North East Region,Serangoon
ST FRANCIS COURT,"1,052,000","1,270.15",828,05 Oct 2021,90 ST. FRANCIS ROAD #11-07,Resale,Strata,118,"8,915",-,Apartment,1,99 yrs from 08/09/1992,1994,HDB,328071,12,32,Central Region,Kallang
SUNVILLE,"1,428,000","1,259.39","1,134",05 Oct 2021,22 ST. MICHAEL'S ROAD #01-12,Resale,Strata,117,"12,205",-,Apartment,1,Freehold,2005,Private,327981,12,32,Central Region,Kallang
SOPHIA HILLS,"1,390,000",710.42,"1,957",05 Oct 2021,27 MOUNT SOPHIA #03-97,Resale,Strata,66,"21,061",-,Condominium,1,99 yrs from 10/12/2013,2018,Private,228478,09,22,Central Region,Rochor
BEAUFORT ON NASSIM,"6,180,000","2,174.33","2,842",05 Oct 2021,12 NASSIM ROAD #03-06,Resale,Strata,202,"30,594",-,Condominium,1,Freehold,2008,Private,258380,10,25,Central Region,Tanglin
N.A.,"3,760,000","3,445.56","1,091",05 Oct 2021,25 POH HUAT ROAD,Resale,Land,320.1,"11,746",-,Semi-Detached House,1,999 yrs from 14/07/1884,-,HDB,546725,19,54,North East Region,Hougang
PRINCIPAL GARDEN,"1,580,000",807.3,"1,957",05 Oct 2021,97 PRINCE CHARLES CRESCENT #14-23,Resale,Strata,75,"21,067",-,Condominium,1,99 yrs from 21/07/2014,2018,HDB,159028,03,15,Central Region,Bukit Merah
MERA TERRACE,"3,300,000","1,614.6","2,044",05 Oct 2021,29 SEAGULL WALK,Resale,Land,150,"22,000",-,Terrace House,1,Freehold,1996,HDB,486744,16,48,East Region,Tampines
AMARANDA GARDENS,"1,750,000","1,044.11","1,676",05 Oct 2021,120 SERANGOON AVENUE 3 #04-05,Resale,Strata,97,"18,041",-,Condominium,1,Freehold,2004,HDB,554774,19,55,North East Region,Serangoon
N.A.,"36,000,000","24,531.16","1,468",05 Oct 2021,24 CORONATION ROAD WEST,Resale,Land,"2,279","15,796",-,Detached House,1,Freehold,-,Private,269248,10,26,Central Region,Bukit Timah
AVILA GARDENS,"1,230,000","1,323.97",929,05 Oct 2021,15 FLORA ROAD #05-02,Resale,Strata,123,"10,000",-,Condominium,1,Freehold,1995,Private,509734,17,50,East Region,Pasir Ris
EDELWEISS PARK CONDOMINIUM,"1,320,000","1,733",762,05 Oct 2021,88 FLORA ROAD #07-26,Resale,Strata,161,"8,199",-,Condominium,1,Freehold,2006,HDB,507003,17,50,East Region,Pasir Ris
FORT GARDENS,"2,165,000","1,345.5","1,609",05 Oct 2021,21 FORT ROAD #09-03,Resale,Strata,125,"17,320",-,Condominium,1,Freehold,1993,Private,439089,15,43,Central Region,Kallang
FRANKEL ESTATE,"9,500,000","7,440.08","1,277",05 Oct 2021,22 FRANKEL AVENUE,Resale,Land,691.2,"13,744",-,Detached House,1,Freehold,1952,Private,458150,15,45,East Region,Bedok
CASA ESPANIA,"2,000,000","1,668.42","1,199",05 Oct 2021,17 GAMBIR WALK #01-02,Resale,Strata,155,"12,903",-,Apartment,1,Freehold,1991,Private,538977,19,53,North East Region,Serangoon
ONE AMBER,"2,488,000","1,388.56","1,792",05 Oct 2021,1 AMBER GARDENS #07-01,Resale,Strata,129,"19,287",-,Condominium,1,Freehold,2010,Private,439957,15,43,Central Region,Marine Parade
CLOVER BY THE PARK,"2,050,000","1,571.54","1,304",05 Oct 2021,2 BISHAN STREET 25 #05-06,Resale,Strata,146,"14,041",-,Condominium,1,99 yrs from 10/09/2007,2011,Private,573973,20,57,Central Region,Bishan
BURGUNDY HILL,"3,000,000","4,521.96",663,05 Oct 2021,27 BURGUNDY CRESCENT,Resale,Land,420.1,"7,141",-,Semi-Detached House,1,99 yrs from 01/03/1995,1999,HDB,658740,23,65,West Region,Bukit Batok
THE PARC CONDOMINIUM,"2,198,000","1,420.85","1,547",05 Oct 2021,11 WEST COAST WALK #07-24,Resale,Strata,132,"16,652",-,Condominium,1,Freehold,2010,HDB,127161,05,12,West Region,Clementi
ICON,"1,600,000",925.7,"1,728",05 Oct 2021,10 GOPENG STREET #36-22,Resale,Strata,86,"18,605",-,Apartment,1,99 yrs from 29/01/2002,2007,Private,078878,02,07,Central Region,Downtown Core
CASABLANCA,"762,000",893.41,853,05 Oct 2021,21 ROSEWOOD DRIVE #13-02,Resale,Strata,83,"9,181",-,Condominium,1,99 yrs from 02/10/2001,2005,HDB,737917,25,73,North Region,Woodlands
WINDERMERE,"1,730,000","2,400.37",721,05 Oct 2021,32 CHOA CHU KANG STREET 64 #23-03,Resale,Strata,223,"7,758",-,Executive Condominium,1,99 yrs from 03/03/1997,1999,Private,689099,23,68,West Region,Choa Chu Kang
THE LUXURIE,"925,000",731.95,"1,264",05 Oct 2021,27 COMPASSVALE ROAD #04-33,Resale,Strata,68,"13,603",-,Condominium,1,99 yrs from 15/06/2011,2015,HDB,544757,19,54,North East Region,Sengkang
RIVER ISLES,"918,000",893.41,"1,028",05 Oct 2021,66 EDGEDALE PLAINS #07-32,Resale,Strata,83,"11,060",-,Condominium,1,99 yrs from 06/02/2012,2015,HDB,828732,19,82,North East Region,Punggol
WASHINGTON VILLA,"5,020,000","4,815.81","1,042",05 Oct 2021,108 TAMARIND ROAD,Resale,Land,447.4,"11,220",-,Semi-Detached House,1,Freehold,1976,Private,806057,28,80,North East Region,Serangoon
THE EDEN AT TAMPINES,"1,005,000","1,205.57",834,05 Oct 2021,35 TAMPINES STREET 34 #03-38,Resale,Strata,112,"8,973",-,Executive Condominium,1,99 yrs from 12/09/2000,2003,Private,529239,18,52,East Region,Tampines
N.A.,"6,000,000","4,067.72","1,475",05 Oct 2021,17 WHITLEY ROAD,Resale,Land,377.9,"15,877",-,Semi-Detached House,1,Freehold,1997,Private,297803,11,29,Central Region,Novena
NORTHVALE,"1,280,000","1,506.96",849,05 Oct 2021,69 CHOA CHU KANG LOOP #10-05,Resale,Strata,140,"9,143",-,Apartment,1,99 yrs from 01/03/1995,1998,HDB,689672,23,68,West Region,Choa Chu Kang
OXLEY RESIDENCE,"5,430,000","2,540.3","2,138",05 Oct 2021,51A OXLEY ROAD #02-02,Resale,Strata,236,"23,008",-,Condominium,1,Freehold,2014,Private,238675,09,23,Central Region,River Valley
1 CANBERRA,"928,000",936.47,991,05 Oct 2021,9 CANBERRA DRIVE #09-20,Resale,Strata,87,"10,667",-,Executive Condominium,1,99 yrs from 30/01/2012,2015,HDB,768070,27,76,North Region,Yishun
SLOANE RESIDENCES,"3,794,420","1,291.68","2,938",06 Oct 2021,17 BALMORAL ROAD #02-07,New Sale,Strata,120,"31,620",-,Apartment,1,Freehold,Uncompleted,N.A,259803,10,25,Central Region,Tanglin
THE JOVELL,"1,251,300",904.18,"1,384",06 Oct 2021,21 FLORA DRIVE #06-35,New Sale,Strata,84,"14,896",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,N.A,506761,17,50,East Region,Pasir Ris
PIERMONT GRAND,"1,689,800","1,506.96","1,121",06 Oct 2021,28 SUMANG WALK #03-16,New Sale,Strata,140,"12,070",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,N.A,828619,19,82,North East Region,Punggol
NORMANTON PARK,"1,525,000",828.83,"1,840",06 Oct 2021,47 NORMANTON PARK #06-10,New Sale,Strata,77,"19,805",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,N.A,119028,05,11,Central Region,Queenstown
NORMANTON PARK,"1,983,000","1,065.64","1,861",06 Oct 2021,57 NORMANTON PARK #20-55,New Sale,Strata,99,"20,030",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,N.A,117284,05,11,Central Region,Queenstown
NORMANTON PARK,"1,962,000","1,065.64","1,841",06 Oct 2021,59 NORMANTON PARK #23-64,New Sale,Strata,99,"19,818",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,N.A,117285,05,11,Central Region,Queenstown
PARC CLEMATIS,"2,204,000","1,248.62","1,765",06 Oct 2021,6A JALAN LEMPENG #15-08,New Sale,Strata,116,"19,000",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128822,05,12,West Region,Clementi
AVENUE SOUTH RESIDENCE,"2,763,000","1,496.2","1,847",06 Oct 2021,13 SILAT AVENUE #06-37,New Sale,Strata,139,"19,878",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,168878,03,16,Central Region,Bukit Merah
MYRA,"2,793,000","1,313.21","2,127",06 Oct 2021,9 MEYAPPA CHETTIAR ROAD #10-03,New Sale,Strata,122,"22,893",-,Apartment,1,Freehold,Uncompleted,N.A,358456,13,35,Central Region,Toa Payoh
OLA,"1,049,000",925.7,"1,133",06 Oct 2021,76 ANCHORVALE CRESCENT #13-14,New Sale,Strata,86,"12,198",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,N.A,544602,19,54,North East Region,Sengkang
THE M,"1,421,000",527.44,"2,694",06 Oct 2021,38 MIDDLE ROAD #16-41,New Sale,Strata,49,"29,000",-,Apartment,1,99 yrs from 03/07/2019,Uncompleted,N.A,188947,07,18,Central Region,Downtown Core
KI RESIDENCES AT BROOKVALE,"2,215,000","1,108.69","1,998",06 Oct 2021,12 BROOKVALE DRIVE #05-22,New Sale,Strata,103,"21,505",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599978,21,59,West Region,Clementi
PARC GREENWICH,"1,382,000","1,140.98","1,211",06 Oct 2021,31 FERNVALE LANE #14-03,New Sale,Strata,106,"13,038",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797503,28,79,North East Region,Sengkang
PARC GREENWICH,"1,264,000","1,001.05","1,263",06 Oct 2021,37 FERNVALE LANE #10-13,New Sale,Strata,93,"13,591",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797353,28,79,North East Region,Sengkang
THE SANTORINI,"1,370,000","1,151.75","1,189",06 Oct 2021,25 TAMPINES STREET 86 #05-18,Resale,Strata,107,"12,804",-,Condominium,1,99 yrs from 16/10/2013,2017,HDB,528569,18,52,East Region,Tampines
AMANINDA,"1,048,000",678.13,"1,545",06 Oct 2021,329 THOMSON ROAD #03-05,Resale,Strata,63,"16,635",-,Condominium,1,Freehold,2005,Private,307674,11,30,Central Region,Novena
CHANGI COURT,"1,280,000","1,162.51","1,101",06 Oct 2021,700 UPPER CHANGI ROAD EAST #04-10,Resale,Strata,108,"11,852",-,Condominium,1,Freehold,1997,HDB,486830,16,48,East Region,Tampines
SELETAR HILLS ESTATE,"3,250,000","3,692.05",880,06 Oct 2021,54 JALAN JARAK,Resale,Land,343,"9,475",-,Semi-Detached House,1,999 yrs from 01/01/1879,-,Private,809216,28,80,North East Region,Serangoon
N.A.,"2,388,000","3,261.49",732,06 Oct 2021,72 JALAN KASAU,Resale,Land,303,"7,881",-,Semi-Detached House,1,Freehold,1969,Private,739664,25,73,North Region,Sungei Kadut
SKYSUITES17,"631,900",355.21,"1,779",06 Oct 2021,17 JALAN RAJAH #21-02,Resale,Strata,33,"19,148",-,Apartment,1,Freehold,2014,Private,329137,12,32,Central Region,Novena
N.A.,"5,450,000","2,382.07","2,288",06 Oct 2021,17A LIM TAI SEE WALK,Resale,Land,221.3,"24,627",-,Semi-Detached House,1,Freehold,1994,Private,267784,10,26,Central Region,Bukit Timah
CASA CAMBIO,"625,000",430.56,"1,452",06 Oct 2021,9 LIM TUA TOW ROAD #03-16,Resale,Strata,40,"15,625",-,Condominium,1,Freehold,2014,Private,547726,19,54,North East Region,Serangoon
CENTRA LOFT,"650,000",473.62,"1,372",06 Oct 2021,3 LORONG 35 GEYLANG #07-03,Resale,Strata,44,"14,773",-,Apartment,1,Freehold,2013,HDB,387935,14,38,Central Region,Geylang
THE AXIS,"1,100,000",753.48,"1,460",06 Oct 2021,47 MANDALAY ROAD #11-03,Resale,Strata,70,"15,714",-,Apartment,1,Freehold,2009,Private,308227,11,30,Central Region,Novena
CITYSCAPE @FARRER PARK,"1,480,000","1,076.4","1,375",06 Oct 2021,101 MERGUI ROAD #05-04,Resale,Strata,100,"14,800",-,Condominium,1,Freehold,2014,Private,219067,08,21,Central Region,Kallang
DOUBLE BAY RESIDENCES,"1,450,000","1,259.39","1,151",06 Oct 2021,19D SIMEI STREET 4 #12-36,Resale,Strata,117,"12,393",-,Condominium,1,99 yrs from 07/04/2008,2012,Private,528716,18,52,East Region,Tampines
THE SUNSHINE,"1,530,000","1,237.86","1,236",06 Oct 2021,1 SUNSHINE TERRACE #12-01,Resale,Strata,115,"13,304",-,Apartment,1,Freehold,2003,HDB,535689,19,53,North East Region,Serangoon
TEACHER'S HOUSING ESTATE,"3,450,000","2,459.57","1,403",06 Oct 2021,76 TAGORE AVENUE,Resale,Land,228.5,"15,098",-,Terrace House,1,999 yrs from 02/12/1885,-,Private,787678,26,78,North East Region,Ang Mo Kio
